Elapsed time,Direct_1,Abdomen_1,Abdomen_2,Abdomen_3,Abdomen_4,EDF Annotations
,,,,,,
0,28.8,-8.8,13.4,22.1,32.6,0.688
0.001,26.7,-13.9,12.7,21.8,35.401,0.688
0.002,24.8,-18.7,12.1,21.3,37.601,0.688
0.003,23.8,-23.4,11.5,20.3,39.001,0.688
0.004,23.6,-27.9,10.5,18.6,39.501,0.688
0.005,23.7,-32.801,8.7,16,39.301,0.688
0.006,23.7,-38.101,6.1,12.7,38.801,0.688
0.007,23.7,-43.801,2.9,9,38.201,0.688
0.008,23.8,-49.301,-0.3,5.4,37.501,0.688
0.009,24.4,-54.001,-3.2,2.3,36.601,0.688
0.01,25.4,-57.501,-5.3,0,35.301,0.578
0.011,26.5,-59.501,-6.4,-1.6,33.501,0.578
0.012,27.4,-60.401,-6.7,-2.5,31.6,0.578
0.013,27.9,-60.501,-6.2,-2.9,30,0.578
0.014,28.3,-60.301,-5.5,-2.7,29.1,0.578
0.015,28.6,-59.701,-4.7,-1.9,29.1,0.578
0.016,28.9,-58.901,-4.2,-0.7,29.6,0.578
0.017,28.9,-57.601,-4,0.7,30.1,0.578
0.018,28.5,-55.701,-3.8,1.6,29.7,0.578
0.019,27.8,-53.001,-3.6,1.5,27.8,0.578
0.02,27.6,-49.401,-3.3,0.2,24.1,0.668
0.021,28.4,-44.901,-3,-2.1,18.8,0.668
0.022,30.4,-39.601,-3.1,-4.7,12.6,0.668
0.023,32.901,-33.701,-3.8,-6.9,6.2,0.668
0.024,34.701,-27.8,-5,-8.4,0.1,0.668
0.025,35.001,-22.2,-6.4,-9.3,-4.9,0.668
0.026,33.901,-17.2,-7.7,-9.9,-8.7,0.668
0.027,32.2,-12.9,-8.4,-10.6,-11.2,0.668
0.028,31.5,-9.4,-8.8,-11.3,-12.7,0.668
0.029,32.801,-6.6,-8.8,-11.9,-13.4,0.668
0.03,35.901,-4.5,-8.6,-12.2,-13.6,0.68
0.031,39.901,-2.7,-8.5,-11.9,-13.5,0.68
0.032,43.301,-1.1,-8.4,-11.3,-13.5,0.68
0.033,45.101,0.7,-8.3,-10.6,-13.9,0.68
0.034,45.401,2.7,-8.3,-10.3,-14.8,0.68
0.035,45.001,4.6,-8.6,-10.5,-16.3,0.68
0.036,44.801,6,-9.6,-11.4,-18.5,0.68
0.037,45.301,6.4,-11.4,-12.8,-20.9,0.68
0.038,46.201,5.7,-13.6,-14.3,-23.3,0.68
0.039,46.601,4.3,-15.8,-15.5,-25,0.68
0.04,46.001,2.7,-17.4,-16,-25.9,0.72
0.041,44.801,1.8,-18,-15.5,-25.8,0.72
